Name,Position,Scouting Report,Race
Justin Fields,QB,"Toughness/willingness to do what it takes is always on display.
 Never lost a Big Ten game as a starter.
 Vast improvement in 2020 with fumbles per snap.
 Good size with stout lower body to stave off sacks/tackles.
 Lateral footwork to side-step downhill blitzers.
 Usually finds a firm, sturdy passing base beneath him.
 Plenty of zip for long, field-side throws.
 Attention to drive mechanics generates velocity when needed.
 Makes quality reads when deciphering high-low concepts.
 Confident and comfortable throwing into intermediate zone windows.
 Willing to take a big hit to deliver a pass.
 Good command and accuracy on boot action to the right.
 Keeps defenses honest with his legs.
 Picks up tough yards on the ground when team needs it. Needs to improve pocket mobility for clean launch points.
 Below-average feel for edge pressure, running himself into pressure points.
 Field vision is average in face of the blitz.
 Missed open blitz beaters in the middle of the field against Indiana.
 Gradual operation time prevents expedited release.
 Needs to release ball earlier on anticipatory throws.
 Needs to improve eye manipulation as a pro.
 Stagnant eyes invite coverage to the passing party.
 Forces receivers to slow for deep throws.
 Pet spin move as runner got him clocked against Clemson.",NW
Micah Parsons,LB,"Jarring production jump from freshman to sophomore season.
 Sleek, well-defined frame with powerful lower half.
 Praised inside program for highly competitive nature.
 Elite range with burst/speed rarely seen at linebacker.
 Has foot quickness and change of direction of a running back.
 Can overcome mental mistakes with explosive athleticism.
 Size and strength to free himself from blocks.
 Twitch for lateral gap-to-gap peek-a-boo looking for ball-carrier.
 Wrap-up tackler with limited broken tackles on his bill.
 Talented hunter when blitz is dialed up.
 Able to bend and flatten to quarterback as edge rusher.
 Wiggle for efficient pathways past A-gap protection.
 Gains instant depth dropping into coverage.
 Athletic talent to handle man coverage duties. Needs to prove ability to find solo tackles.
 Lack of experience and patience shows in early diagnosis.
 Runs himself out of position with unnecessary early charges.
 Quick to run rather than scrape with square pads.
 Has issues battling downhill rushing attacks coming right at him.
 Loses gap leverage side-stepping lead blocks.
 Takes on blocks with shoulder over punch and separation.
 Needs to run feet through the strike as tackler.
 Stiff hands missed out on easy interceptions.",NW
Rashawn Slater,OT,"Frame is compact and muscular with good lean mass.
 Starter since his freshman season and played both tackle spots.
 Reps against Ohio State’s Chase Young were very impressive.
 Confident in claiming his turf in heads-up battles.
 Possesses excellent core strength and contact balance.
 Big paws can snatch into opponent’s frame.
 Runs with choppy feet through his run blocks.
 Smooth lateral flow coming off the ball.
 Fluid as a move blocker and has a good feel for second-level angles.
 Reads and adjustments are fast and effective in space.
 Keeps his head back and chin tucked in pass sets.
 Trusts his feet in pass sets and rarely ever lunges.
 Stiff punch and strong outside hand discourages edge rushers.
 Upper-body power allows for quick separation after punch.
 Quick response to inside shots.
 Sudden anchor drops with hip flexion to lockout a bull-rush.
 Has all kinds of recovery athleticism. Some teams might see him as an inside player only because of arm length.
 Allows some separation at the punch point due to lack of length.
 Needs to play with better knee bend in space.
 Slight inconsistencies maintaining inside hands in pass pro.
 Hands ride a little too high on down blocks, causing him to lose some power.
 Has some issues getting pad level low in short-yardage situations.",NW
Alijah Vera-Tucker,G,"Wide, thick frame with burly lower body and plus upper-body and core strength.
 Able to step out and play tackle effectively if a team needs it.
 Adequate athletic talent to pull and trap.
 Big man with impressive reactive adjustments on second level.
 Hip-to-hip on double-team blocks.
 Displays his recovery talent when he's cross-faced.
 Hands are strong and his placement is consistently accurate.
 Plays under control.
 Rips a stiff punch directly into rusher's frame.
 Gets to full extension with inside hands.
 Can clinch and mirror rusher in putting his rush plan in the deep freeze.
 Substantial anchor to eat a bull rush.
 Quick to process twists and alter assignment. Pad level can get away from him off the snap.
 Needs better drop and pop to move the nose with down blocks.
 Below-average creating engagement momentum with settle steps.
 Average sink and push to clear debris.
 Narrow drive base causes him to fall off blocks against surly two-gappers.
 Needs to keep working on hand resets when he loses positioning.
 Needs to tighten up footwork in run and passing games.",NW
Mac Jones,QB,"Stepped up to the challenge in 2020.
 Won't take unnecessary chances very often.
 Feel for pocket slides to avoid pressure.
 Can climb into a rhythmic drive throw.
 Very confident making placement throws.
 Feathery touch attacking over the top of linebackers.
 Accuracy to prevent receivers from having to break stride.
 Expedites release on hot reads and in the face of pressure.
 Perfect placement with hanging it high for receiver to leap and make plays.
 Shows flashes of throwing players open.
 Wins at the back shoulder.
 Willing to get rid of the ball rather than take a loss or make a mistake.
 Some elusive qualities when he turns into a runner. Very thin lower body and struggles to fight off rush contact.
 Slow ball handler on RPOs.
 Leaves back half behind in his follow-through.
 Average release quickness.
 Locks in on a target rather than honoring the progressions.
 Doesn't play with the desired poise of an NFL starter.
 Antsy when reads don't quickly come together.
 Play can be panicky and rushed in the face of pressure.
 Has trouble locating open targets in direction where heat is coming from.
 Would like to see him play with more grit.",W
Zaven Collins,LB,"Three-year starter and winner of Bronco Nagurski Award.
 Consistent, impact production in all three seasons.
 Freaky combination of size and athleticism for linebacker.
 Range to make plays all over the field.
 Sees opportunities to swoop downhill and attack holes in blocking scheme.
 Size and knock-back power to take on blocks.
 Burst and length to track down runners from backside.
 Terrific second effort as a tackler.
 Recovers from blocks and gets back into the play.
 Plays disciplined team defense, filling his fits and spilling plays wide.
 Good awareness of air traffic in zone coverage.
 Reads quarterback and slides into passing lanes.
 Had four interceptions in 2020, including two he returned for touchdowns. Would like to see a little more alpha aggression from him.
 Doesn't always impose size and control blockers with his hands.
 Instincts and diagnosis are just average.
 Needs deeper fill to leverage and constrict run lane.
 Can improve pathways getting from Point A to Point B.
 Rushed pursuit and overran cutbacks versus Oklahoma State's outside zone.
 Needs time to gather and change direction due to size.
 Average reactive agility in the hole.
 Not a natural rusher when turned loose off the edge.",NW
Alex Leatherwood,OT,"Looks the part with well-proportioned frame and long arms.
 Offers experience and roster flexibility at either guard or tackle.
 Can bend and leverage at point of attack.
 Athletic in his movements.
 Can operate effectively in outside zone and for screen blocks.
 Kick-slides are good and bring him to proper depth.
 Base width rarely fails him in pass pro.
 Able to unlock hips and sink against bull-rusher.
 Length can discombobulate rush plan when punch is well-timed.
 Diligent to protect inside post in pass sets.
 Can open hips and recover when edge is assaulted at the top of the rush. Mechanical and lacking explosion into initial contact.
 Needs to guard against long initial lateral steps in run game.
 Athletic but movement lacks twitch in tight quarters.
 Needs to improve play strength contact balance.
 Doesn't play with consistent fire and passion as finisher.
 Punch needs to punish and not push the enemy.
 Would benefit from attacking rushers earlier with his length.
 Slows feet prematurely against speed rushers.
 Needs better hand positioning in general.
 Disappointing power to separate and redirect when rush hits his edge.",NW
Jaelan Phillips,EDGE,"Former five-star recruit with high-impact physical attributes.
 Has shown flexibility with weight he can carry.
 Heated up over final four games with 11 tackles for loss and 6.5 sacks.
 Accelerates into the edge.
 Adjusts rush track quickly according to the pass set.
 Flexible upper body to help flip over the punch at top of the rush.
 Gets skinny to shoot the B-gap and harass the backfield.
 Closing burst to the quarterback is not in doubt.
 Plays hard and keeps coming from snap to snap.
 Very aware as run defender.
 Sees mesh point clearly on zone reads and recognizes lane choice by runner.
 Length to handle edge-setting. Missed time due to ankle and wrist injuries and concussions.
 Pad level rises too tall off the snap.
 Below-average core strength for head-to-head battles against tackles.
 Gets bounced off his base during redirect blocks.
 Needs better command with his hands as a rusher.
 Fails to stack moves to stay ahead of pass blockers.
 Inside counter needs to be unlocked.",NW
Jamin Davis,LB,"Big linebacker with desired athleticism inside.
 Put a mark into every category, including blocked kick and defensive touchdown in 2020.
 Plays with impressive focus and vision.
 Gains ground quickly with clean lateral scrape.
 Peripheral vision to play around angle blocks.
 Displays ability to work off block quickly when positioning is right.
 Controlled pursuit transitions to tackle-ready platform.
 Combines length and play strength as optimal finishing tools.
 Coverage recognition to work high to low.
 Quarterbacks must respect his catch radius and ability to take it away. Has just 11 career starts under his belt.
 Talented, but inexperience will show at times.
 Needs to diagnose and respond just a shade quicker as a pro.
 Average toughness in his take-on of lead blockers.
 Room for improvement with hand usage and pad level as tackler.
 Underestimates pursuit angle from time to time.",NW
Kadarius Toney,WR,"Access to early acceleration to uncover.
 Joints like rubber bands for instant change of direction.
 Has potential to run complex first- and second-level routes.
 Can run an inside-pivot whip route that is unguardable.
 Plus value in quick game and as gadget option.
 Competed through injury and made play after play against LSU.
 Over-the-shoulder ball-tracking talent.
 Makes catches outside his frame.
 Very good open-field vision for run after catch.
 Strong legs with ability to wiggle and elude or break the tackle.
 More physical than expected with ball in his hands.
 Will not half-step as a run finisher, so buckle up.
 Can step right in as punt returner. Only one season of high-level production.
 Battled injuries and missed chunks of action in both 2017 and '19.
 Route speed looks turned down at times.
 Route inefficiencies will need to be corrected.
 Too much freestyling and wasted motion in and out of breaks.
 Can play with better strength against tight man at the top of the route.
 Might have issues handling contested catch duties underneath.
 More quick than speedy.",NW
Kwity Paye,EDGE,"Team captain who leads with great work ethic and determined effort.
 Explosive, twitched-up ball of power.
 Possesses rare short-area quickness and agility.
 Excellent flexibility playing low and firm into the block.
 Leverage and leg drive to work across the block post-contact.
 Quick hands should help batter blocks on the next level.
 Has potential for quicker stack and shed with more work.
 Lateral shuffle down the line is as quick as you'll find.
 Pursuit speed is upper-echelon for players his size.
 Hard to move around by single, base blocks.
 Quickness could unlock rush success as interior rusher.
 Pure power to push the pocket, dislodge and anchor.
 Good change of direction to hound targets inside the pocket.
 Secondary rush effort lasts game in and game out. Has just 19 collegiate starts.
 Production doesn't always match the traits.
 Doesn't have natural instincts and awareness of a playmaker.
 Playing style is very choppy and unfocused.
 Short-stepping rusher who is easier to find with a punch.
 Has acceleration and rush momentum stalled by blockers.
 Needs to incorporate a more violent chop to grease the edge.
 Slow to read and react to screens and misdirection.",NW
Caleb Farley,CB,"Big, long and can run.
 Improved his pattern recognition later in the 2019 season.
 Hassles receivers with length and strength.
 Plus route redirection from zone coverage.
 Appears to have physical attributes needed to cover mismatch tight ends.
 Stays in phase from press coverage.
 Stalls the release with effective one- or two-hand punch.
 Maintains focus and positioning when tracking deep targets.
 Shows straight-line closing speed when he opens his stride.
 Ball skills come naturally for him.
 Attacks on the throw are typically well-timed and extremely rigorous.
 Takes play-side angles in challenging passing lanes.
 Excellent use of hand-fighting and body positioning constricts catch space.
 Has potential for rapid improvement as run defender with more work. Needs more coaching to improve fundamentals and technique.
 Clunky backpedal with a tendency to open his hips too early.
 Plays too tall, creating turbulent transitions to chase route breaks.
 More reactive than instinctive from off-man at this time.
 Could struggle staying connected with complex routes.
 Average click-and-close from the top of his drop.
 Interference penalties pop up when he doesn’t work to find the football.
 Inconsistent balance and form as run-support tackler.
 Some missed tackles ended up costing his team points.",NW
Christian Darrisaw,OT,"Split low with optimal center of gravity.
 Natural bender who's able to keep his pad level right.
 Silky-smooth feet in pass slides.
 Strong hands help him lock in after punch has landed.
 Athletic feet to mirror and move in all directions.
 Ability to quick-set wide rushers and short-circuit their angles.
 Body control and balance generally solid throughout the rep.
 Lower-body bend to doorstop a bull rush.
 Has talent and athleticism to make all the blocks at any angle.
 Lateral quickness off the snap is fantastic.
 Enticing combination of feet, hips and hand strength.
 Tunnel-maker with ability to reach, turn and secure cutback lanes.
 Very effective cut blocker.
 Keeps eyes trained on second-level targets through his secure blocks.
 Agility to stalk and connect against moving targets.
 Eliminated most penalties over the last two seasons. Play can be much too nonchalant at times.
 Inexplicably lets opponents off the hook early rather than finishing them.
 Too reliant upon athleticism over technique.
 Low hands lead to occasional late punches.
 Opens outside hip a little early in his pass slides.
 Allows defender into his frame more than he should.
 Needs committed power step inside to protect B-gap.
 Inconsistent working a firm, accurate outside hand.
 Lazy with hand placement on down blocks.
 Rushes through secure block on combos.",NW
Najee Harris,RB,"Great size with the demeanor for the game.
 Runs decisively and with urgency.
 Rarely fumbles.
 Able to gather and cut on short notice.
 Downhill wiggle to slalom around bodies.
 Change of direction is crisp.
 Makes large number of tacklers miss for being a physical back.
 Has tools to handle inside/outside duties.
 Follows and bursts to daylight off of lead blocks.
 Violent finisher who is ready to thump when challenged.
 Plus balance to keep run on track through first contact.
 Talent as route runner and pass catcher was on full display in 2020.
 Soft hands with above-average ball skills.
 Willing and able in pass protection. Runs with inconsistent feel for tempo.
 Lacks speed to threaten for the big play.
 Gets in a hurry, hindering his ability to find developing blocks.
 Runs with low knee action and average burst between tackles.
 Average acceleration out of his cuts.
 Takes on heavy contact on a consistent basis.
 Running style could lead to challenges with durability.",NW
Travis Etienne,RB,"Very capable of excelling on all three downs.
 Put it in the paint throughout career with 78 total touchdowns in four years.
 Rabid determination to beat tacklers with ""fast"" or ""force.""
 Had 16 career touchdowns of 44-plus yards.
 Patient creeper, allowing power blocks to develop.
 Excellent read-and-cut timing behind wash-down blocks.
 Gets it downhill when it's time to go.
 Leg drive and balance to power and bounce through contact.
 YAC daddy whose default running style is set to rampage.
 Several scores came after hard contact.
 Hips can swivel and cut in any direction.
 Top-end speed to make poor angles pay the iron price.
 Elevated his value as receiver out of backfield in 2020.
 Loves to clean up A-gap blitzers with booming angle block. Average ball security needs to improve.
 Wasted motion into reads and cuts.
 Long strider in short spaces.
 Wide base limits lateral balance at times.
 Running style is aggressive but somewhat segmented.
 Lacks finesse along the interior at times.
 Drops easy throws on swing passes.
 Needs to square rushers and keep them centered.
 Has taken some tread off the tire with running style.",NW
Greg Newsome II,CB,"Good strength and physicality from press.
 Nimble feet with smooth backpedal to gain depth.
 Talented mirror-and-match technique versus early release.
 Plays under balanced platform for easier transitions.
 Has shown the ability to recover with feet, not hands.
 Allowed 31.6% completion rate and just 7.8 yards per catch in 2020, per PFF.
 Well-versed in off-man and Cover 3 schemes to go with press.
 Locates and maintains position to play the football.
 Assails receivers' chances on contested catches.
 Drives forward with intent to punish and jar the catch loose.
 Takes smart angles to the reception and comes to balance as tackler.
 Very willing as wrap-up tackler in run support. Played in just 21 games, with 18 starts, during his college football career.
 Can be a little tardy to see and respond from off coverage.
 Needs to do a better job of trusting eyes and instincts.
 Lateral transition burst is just average in route match.
 Some tardiness to open hips and run with the post route.
 Room for improvement with pattern and set-point recognition of WR/QB.
 Response to cross-face routes was inconsistent.
 Fifteen career penalties, including seven pass interference penalties in his last 14 games.
 Needs to get off blocks sooner and could use more tackle strength.",NW
Rashod Bateman,WR,"Possesses NFL size as an outside target.
 Uses a diverse set of release moves.
 Works with crisp route stems.
 Instinctive to scramble and uncover when plays come off schedule.
 Limber upper body for mid-air adjustments.
 Build-up speed to challenge over the top.
 Carries pro-ready hands.
 Catches crossing routes without breaking stride.
 Extends to meet the ball and can pluck it cleanly when it's outside the frame.
 Has a few circus-catch highlights.
 Sneaky efficiency with his wiggle to elude first tackler after catch. Press release can be a little leggy and inefficient at times.
 Had issues dealing with Nebraska cornerback Lamar Jackson's play strength in 2019.
 Hip tightness could limit complexity of routes asked of him.
 Average burst through change of direction in his routes.
 Below-average tracking and adjusting to the deep throw.
 Too content allowing defenders to crowd/eliminate his catch space.
 Lacked consistency against top cornerback competition.
 Not asked to help much as blocker in the run game.",NW
Payton Turner,DE,"Overwhelming size and length for a 4-3 end.
 Plenty of upside left for continued development.
 Impressive reaction time and athleticism.
 Twitchy get-off for his size.
 Generates explosion into contact.
 Good strain to dislodge from blocks and ruin sustains.
 Ridiculous agility expands tackle radius and restricts the run.
 Attacks rush arc with forward lean and quality bend around the corner.
 Stab-and-swipe is his go-to rush move.
 Loose hips help him find half-man angles.
 Sudden inside jump-cut to hit the B-gap running.
 Power and grit to push pocket with his bull rush.
 Challenging to escape from his burst/length once he's in the pocket. Needs to shoot hands a little bit earlier.
 Plays upright and with a narrow base.
 Balance through contact will be an issue due to high center of gravity.
 Can be upended by strong angle blocks.
 Rush plan is underdeveloped and can stall out early at times.
 Needs better instincts as a counter rusher.
 Delayed in finding workable rush counters.
 Power can stall his rush.
 Has knee and foot injuries in his background.",NW
Eric Stokes,CB,"Combination of speed/quickness to play inside or outside.
 Occasional flashes of playmaking instincts.
 Had two interception returns for touchdowns in 2020.
 Poised through press release.
 Stands his ground against physical targets.
 Fights back against push-offs at the top of the route.
 Celebrated high school sprint champ.
 Can run with mismatch-caliber speedsters on crossing routes.
 Hyper-twitchy with downhill drive to his target.
 Plays into receiver when phasing downfield.
 Potential for gunner duties on punt team. Slim lower body with lack of play strength.
 Thinks ""hands"" before ""feet"" when matching release and breaks.
 Doesn't fully trust what he sees yet.
 Mostly ""right place, right time"" interceptions.
 Takes extra steps on lateral transition from shuffle/pedal.
 Tardy gaining playmaking positioning in coverage.
 Below-average poise and balance downfield.
 Opponents run through solo tackle tries.
 Likely to be isolated and targeted by run games.",NW
Greg Rousseau,EDGE,"Long and rangy perched along the edge.
 Jarring production for only a single season of work.
 Unusual feel for hand-to-hand battles as recent convert from receiver.
 Keeps eyes steadied into backfield throughout rep.
 Ability to escape blocks and re-establish positioning.
 Stays active in working to blocker's edge.
 Can spill and chase effectively against the run.
 Motor and effort are usually strong.
 Two-hand swipe is concise and accurate.
 Athleticism and agility for smooth change of direction in secondary rush.
 Slips and slithers around interior pass protection with interior rush.
 Above average when shadowing scrambling quarterbacks.
 Long-strider with close-out burst that expands his sack radius. Only one full season of college ball under his belt.
 High percentage of rush production came at nose instead of edge.
 Must add mass and strength to both upper and lower half.
 Not overly twitchy or fleet in attacking the corner with upfield charge.
 Struggled to dislodge tackle's punch against Virginia in 2019.
 Conversion of speed to power is below average.
 Needs heavier hands at point of attack.
 Height limits natural leverage in attacking run blocks.
 Absorbs more than he doles out in initial contact.
 Balance through contact is erratic.",NW
