ID,Position,Scouting Report Sentence(s),Race
24,QB,Positiv Pstv Strong Virtue ExprsvPositiv Nonadlt IndAdjPassive Quan TimeSpcStrong Quan DIMPositiv Nonadlt IndAdjNegativ Ngtv Role HUObject ToolPositiv Active Travel IAVNegativ Ngtv Hostile Weak Passive SocRel PowCon PowTotPositiv Pstv Virtue SureLw,NW
25,QB,QualityNegativ Ngtv Hostile Active Virtue PowCon PowTotPositiv Econ@ Quan WltOth WltTotNegativ Ngtv Hostile Strong Active Milit SocRel DAV PowCon PowTotPositiv Pstv Virtue Ovrst Abs@ ABS EnlOth EnlTotStrong Power Active Virtue Ovrst SureLw,NW
26,QB,Object Tool,NW
27,QB,Positiv Pstv Strong Power Ovrst Role MALE HU RspOth RspTotNegativ Ngtv Passive Need EndsLwNegativ Ngtv Hostile Active SocRel IAVSpacePositiv Pstv Virtue EVAL,NW
28,QB,Negate SVPassive ArousalAffil Virtue AffOth AffTotNegativ Ngtv Hostile Power Passive Vice PowOth PowTotRitualSubmit Passive Role HUNegativ Ngtv Weak Passive Fail IAV PowCon PowTot,NW
29,QB,Negativ Ngtv Weak Passive Vice WlbPhys WlbTotPower Role HU EnlPt EnlTotStrong Power Active Exert IAV PowOth PowTotEcon@ Means SklOth SklTOT,NW
30,QB,Active Work IAVECON Exprsv RitualPositiv Affil Strong IndAdj,NW
31,QB,ABS DIST Space TimeSpcStrong Active Increas TimeSpcObject ToolPositiv Nonadlt IndAdjNegativ Eval@ Quality IndAdjStrong Space IAV PosAffCausalPositiv Pstv Affil Strong Active Role HUPositiv Pstv Strong Virtue EndsLwNegativ Ngtv Hostile Arousal,NW
32,QB,Positiv Pstv Affil Active Virtue PowOth PowTotPositiv Complet QuanActive Work IAVPositiv Pstv Virtue EndsLwPositiv Affil Strong IndAdj,NW
33,QB,Know WlbPsyc WlbTotHostile Role HU PowPt PowTotPositiv Nonadlt IndAdjPositiv Eval@ Quality IndAdjPositiv Pstv Virtue Undrst IfECON Exprsv RitualStrong Means EndsLw,NW
34,QB,Virtue Ovrst EVALNegativ Active ComForm IAVPositiv Pstv Affil Strong Active Role HUStrong Power Active SocRel IAVWeak Undrst QuanVary IAV TranLw,NW
35,QB,Means EndsLwEcon@ ECON ComForm COM FormLwPositiv Pstv Virtue Undrst EVAL EndsLwPassive ArousalSpace,NW
36,QB,Positiv Pstv Virtue EVAL SklOth SklTOTPositiv Pstv Active Know EnlOth EnlTotObject ToolPLACE Route,NW
37,QB,Solve IAVSpaceActive Travel TranLwActive Travel TranLwSubmit Rel IAV,NW
38,QB,Means EndsLwWork IAV,NW
39,QB,ABS DIST Space TimeSpcNegativ Ngtv Passive Need EndsLwObject Tool,NW
40,QB,Object ToolStrong Power Active Exert IAV PowOth PowTotStrong Active Exert IAVPositiv Pstv Submit Passive Perceiv,NW
41,QB,Negativ Ngtv Passive Need EndsLwStrong Power Active Virtue Ovrst SureLwLegal Role HU SklPt SklTOTPower ComForm COM FormLwQuanWeak Passive Decreas DAV TranLwPower Active Travel,NW
42,QB,Weak Undrst FREQ TimeSpcPower ComForm COM FormLwNegativ Ngtv Strong Active NatrPro PowOth PowTotPositiv Nonadlt IndAdjSpaceSpacePower ComForm COM FormLwStrong SpacePositiv Econ@ Quan WltOth WltTotPositiv Pstv Affil Strong Active Role HUArousal EndsLw,NW
43,QB,Strong Quality TimeSpcVirtue UndrstNegativ Ngtv Passive Need EndsLwStrong Active Undrst Decreas IAVNegativ Hostile SocRel Exert,NW
44,TE,Arousal EndsLwPositiv Pstv Affil Strong Active Role HUVirtue Ovrst EVALStrong Active Rel IAV TrnGainPower ECON Polit@ POLIT COLL HU PowAuPt PowTot,NW
45,TE,Strong Active Complet IAV PowGain PowTotSpaceQualityExprsv Role HU SklPt SklTOTPositiv Econ@ Quan WltOth WltTotNegativ Ngtv Hostile Strong Active Vice Eval@ IndAdjEcon@ ECON ComForm COM FormLw,NW
46,TE,Positiv Pstv Affil Strong Active Role HUSpaceVary TranLwPositiv Pstv Strong Virtue EVAL SklOth SklTOT,NW
47,TE,Strong Active Increas TimeSpcNegativ Passive Finish Exert IAVWork IAVActive Travel IAV TranLwStrong Active Fall IAVPositiv Pstv Strong Active Exprsv Begin IAV EndsLwOvrst Time@ TIME TimeSpc,NW
48,TE,Positiv Pstv Affil Strong Active Role HUSpace TimeSpcPLACE Region ArenaLwStrong Power Active ComForm IAV EnlOth EnlTotPositiv Feel Arousal Doctrin,NW
49,TE,Passive Stay IAVPerceiv IAV EnlOth EnlTotSpaceHostile Strong Power Active ComForm IAV PowCon PowTotStrong Active Complet IAV TrnGainPositiv Know PerceivStrong Active Complet IAV TrnGainHostile SocRel,NW
50,TE,QualityStrong Power Econ@ Role HU WltPt WltTotPositiv Pstv Strong Virtue EndsLwStrong Power Active SocRel IAV,NW
51,TE,Strong Active Complet IAV TrnGainPositiv Pstv Strong Virtue EndsLwStrong Ovrst Space DIM SureLwNegativ Ngtv Strong Active Finish PowLoss PowTotPerceiv IAV EnlOth EnlTotNegativ Ngtv Weak Active Fail DAV,NW
52,TE,Active Exert Abs@ ABS EndsLwActive Abs@ ABS SpaceNegativ Ngtv Weak Passive Fail IAV PowCon PowTotPositiv Pstv Strong Active Virtue TrnGainPLACE Region TimeSpc,NW
53,TE,Negate SVNegativ Eval@ Quality IndAdjFinish IAVEcon@ ECON ComForm COM FormLwECON POLIT Name,NW
54,TE,Strong ComForm EnlOth EnlTot FormLwHostile Role HU PowPt PowTotNegativ Ngtv Passive Need EndsLwSpace TimeSpcSpacePositiv Pstv Affil Strong Active Role HU,NW
55,TE,Solve IAVPositiv NatrPro Know IndAdjHostile ComForm PowCon PowTot FormLwNegativ Ngtv Hostile Weak Vice WlbPhys WlbTotAcadem Doctrin Abs@ ABS EnlOth EnlTotPower Academ Role HU PowAuPt PowTot,NW
56,WR,QualityNegativ Ngtv Strong Active NatrPro PowOth PowTot,NW
57,WR,Strong Active Complet IAV TrnGainOvrst QuanStrong Active Increas TimeSpc,NW
58,WR,Hostile SocRelABS DIST Space TimeSpcEcon@ ECON ComForm COM FormLwPositiv Pstv Passive VirtueVirtue Ovrst EVAL,NW
59,WR,Strong ComForm EnlOth EnlTot FormLwPositiv Strong VirtuePositiv COLL HU Time@Positiv Complet QuanPositiv Pstv Affil Strong Active Role HUSpace,NW
60,WR,Negativ Ngtv Hostile Active Exert DAVABS DIST Space TimeSpcSpaceStrong Active Complet IAV TrnGainStrong Quan DIMPositiv Nonadlt IndAdjNegativ Ngtv Hostile Strong Active Vice Eval@ IndAdj,NW
61,WR,Positiv Pstv Affil Active Virtue EVAL MeansLwNegativ Ngtv Strong Active Rel PowCon PowTotSpace TimeSpcABS Time@ TIME EndsLwPositiv NatrPro Rel IPadj,NW
62,WR,Strong Active Complet IAV TrnGainOvrst Time@ TIME TimeSpcPositiv NatrPro Know IndAdjQualityPositiv Feel Arousal DoctrinSpaceHostile Strong Power Active ComForm IAV PowCon PowTotStrong Active Complet IAV TrnGain,NW
63,WR,Negativ Ngtv Role HUNatrProPositiv Pstv Passive VirtueStrong Quan DIMPositiv Nonadlt IndAdjSpace,NW
64,WR,Solve IAVPLACE Region TimeSpcNegativ Ngtv Weak Passive Fail IAV PowCon PowTotPositiv Pstv Virtue EVALNegativ Hostile ViceStrong Means EndsLw,NW
65,WR,Negativ Ngtv Passive Need EndsLwPositiv Nonadlt IndAdjPositiv Pstv Strong Virtue EndsLwPositiv Pstv Strong Virtue ExprsvPositiv Pstv Strong Virtue EVAL SklOth SklTOTNegativ Strong IndAdj,NW
66,WR,Positiv Pstv Strong Active Exprsv Begin IAV EndsLwPositiv Pstv Ovrst Rel,NW
67,WR,COLL HURitualSpacePositiv Strong Active IncreasPositiv Pstv Strong Active Virtue TrnGain,NW
68,WR,Hostile SocRel IAV RcEthic RcTotSolve IAV EnlOth EnlTotNegativ Ngtv Hostile Weak Passive SocRel PowCon PowTotEcon@ Means SklOth SklTOTOvrst Quan,NW
69,WR,Econ@ ECON ComForm COM FormLwVary TranLwTravel IAVSubmit Causal Negate EndsLwSpace,NW
70,WR,Positiv Strong VirtueBodyPtNegativ Ngtv Weak Passive Fail IAV PowCon PowTotStrong QuanActive Travel TranLw,NW
71,WR,Positiv Pstv Strong Virtue Ovrst EVAL RspOth RspTotStrong Power Active ComForm IAV EnlOth EnlTotQualityPositiv Pstv Affil Active Virtue EVAL MeansLw,NW
72,WR,Positiv Strong IncreasSpaceQualityPassive Goal EnlOth EnlTotPositiv Pstv Passive VirtueStrong Space,NW
73,WR,ABS DIST SpaceWeak Time@ TimeSpcNegativ Hostile Power Finish IAV,NW
74,WR,Active Rise DAV TranLwStrong Active Complet IAV PowGain PowTotHostile SocRel,NW
75,WR,Econ@ Means SklOth SklTOTSolve IAV,NW
76,WR,Positiv Eval@ Quality IndAdjBodyPt WlbPhys WlbTotNegativ Ngtv Hostile Weak Vice WlbPhys WlbTotEcon@ ECON ComForm COM FormLw,NW
77,WR,Negativ Active Econ@ Fail IAVQualityStrong Active Complet IAV TrnGainSpaceWeak Undrst FREQ TimeSpcNegativ Ngtv Weak Active Fail DAVSpaceNegativ Ngtv Weak Passive Fail IAV PowCon PowTot,NW
78,WR,ComForm IAV RspOth RspTotStrong Means EndsLw,NW
79,OT,Strong Virtue EndsLwStrong Passive Increas EndsLwPositiv Pstv Means IfStrong Power Active POLIT Role HU PowPt PowTotPositiv Pstv Strong Virtue EVAL SklOth SklTOTPositiv Pstv Strong Virtue ExprsvNegativ Passive Finish Exert IAVNegate SVPassive Goal EnlOth EnlTotPositiv Feel Arousal DoctrinActive Travel TranLwStrong Active Exert Abs@ ABS TranLwPositiv Nonadlt IndAdjSpaceNegativ Ngtv Role HUPower ComForm EnlGain EnlTotVirtue Ovrst EVALQualityMilit Object ToolActive Abs@ ABS SpaceActive Solve IAV EnlGain EnlTotSpaceQualityPositiv Pstv Affil Active Virtue EVAL MeansLwBodyPtStrong Active Space PowOth PowTotPositiv Pstv Affil Strong Active Role HUNegativ Travel Time@ IndAdjABS DIST Space TimeSpcPositiv Pstv Affil ComForm IAV PosAffActive Vary IAVSolve IAVStrong Virtue EndsLwBodyPtABS DIST Space TimeSpcArousal EndsLwStrong ECON CompletActive Exert Abs@ ABS EndsLwNegativ Hostile Active Exert IAVSolve IAVQualityPositiv Nonadlt IndAdj,NW
80,OT,QualityNegativ Ngtv Role HUWeak Passive Decreas DAV TranLwPower Active TravelStrong Power Econ@ Role HU WltPt WltTot,NW
81,OT,Causal IfABS DIST Space TimeSpcPositiv Pstv Active ComForm DAV EnlGain EnlTotFinishPositiv Pstv Strong Virtue EndsLwNegativ Ngtv Passive Need EndsLwPositiv Pstv Strong Active Virtue TrnGainQuality,NW
82,OT,Negativ OvrstStrong Solve IAVSpaceNegativ Hostile Active Exert IAVNegativ Ngtv Weak Passive Vice EndsLwPositiv Pstv Affil Active Virtue RcEthic RcTotPositiv Econ@ Quan WltOth WltTot,NW
83,OT,Positiv Role HU KnowPositiv Pstv Strong Goal MeansLwStrong Ovrst Time@ Intrj SureLwABS DIST Space TimeSpcNegativ Ngtv Passive Need EndsLwStrong Active Increas EndsLwNegativ Ngtv Role HUPositiv Affil Strong IndAdj,NW
84,OT,Power ComForm COM FormLwABS DIST Space TimeSpcMeans EndsLwObject ToolSpace TimeSpcActive Travel TranLwPositiv Pstv Doctrin RcEthic RcTotNegativ Ngtv Passive Need EndsLwPositiv Pstv Strong Active Virtue TrnGain,NW
85,CB,Positiv Eval@ Quality IndAdjSpaceSpace EnlOth EnlTot,NW
86,CB,Positiv Nonadlt IndAdjAcadem Doctrin EnlOth EnlTotEcon@ ECON ComForm COM FormLwPassive Role HU EnlPt EnlTotActive Travel TranLwEcon@ ECON ComForm COM FormLwNegativ Ngtv Role HU,NW
87,CB,Positiv Pstv Strong Power Virtue MeansLwPositiv Nonadlt IndAdjEcon@ ECON ComForm COM FormLwStrong Means EndsLwNegativ Hostile Active Exert IAVStrong Power Econ@ ECON POLIT Role HUSpaceStrong Work DAV PowOth PowTotObject BldgPt,NW
88,CB,Positiv Pstv Strong Power Pleasur EMOT Ovrst WlbPsyc WlbTotPositiv Pstv Strong Virtue PosAffObject ToolNegativ Ngtv Hostile Strong Active SocRel IAV PowOth PowTot,NW
89,CB,Strong Work DAV PowOth PowTotPositiv Pstv Submit Passive PerceivQualityPassive Goal EnlOth EnlTotECON Exprsv Ritual,NW
90,CB,Submit Passive Role HUPositiv Econ@ Quan WltOth WltTotBodyPtHostile Role HU PowPt PowTotStrong Active Complet IAV TrnGainStrong ComForm EnlOth EnlTot FormLw,NW
91,CB,Positiv Strong Virtue EVAL Abs@ ABS MeansLwPositiv Pstv Weak Submit Virtue EVAL RspOth RspTotPositiv Pstv Virtue Econ@ ECON WltOth WltTotQuality,NW
92,CB,BodyPtCausalNegativ Ngtv Weak Passive Persist IAV TranLwStrong Active Increas TimeSpcNegativ Strong Ovrst IndAdjNegativ Ngtv Hostile Active Exert DAV TranLwHostile Strong Active Stay IAV PowCon PowTot,NW
93,CB,Polit@ POLIT Object ComnObj COM RspOth RspTotStrong Active TravelPositiv Pstv Virtue Academ EnlOth EnlTotABS DIST Space TimeSpcSolve IAVPower ComForm EnlGain EnlTot,NW
94,CB,CausalStrong Active Exert IAV TranLwEcon@ ECON ComForm COM FormLwActive Travel IAV TranLwGoal Abs@ ABS EndsLwPositiv Pleasur EMOT StayOurNegativ Ngtv Vice RcEthic RcTot,NW
95,CB,Negativ Ngtv Passive Need EndsLwPositiv Pstv Strong Virtue EndsLwPositiv Pstv Active Passive Means EnlOth EnlTot,NW
96,CB,Affil Strong Role Kin@ MALE HU AffPt AffTotPositiv Role HU KnowAffil Active Academ SocRel IAVFinish,NW
97,CB,Power ECON Polit@ POLIT COLL HU PowAuPt PowTotAcadem Doctrin EnlOth EnlTotPositiv Strong Know IndAdj,NW
98,CB,Strong Means EndsLwNegativ Eval@ Quality IndAdjABS DIST Space TimeSpcStrong Ovrst Quan SureLwNegativ Hostile Active Exert IAVSubmit Passive Role HUActive Travel,NW
99,CB,Passive Perceiv IAV EnlOth EnlTotSubmit Passive Role HUObject ToolSubmit Passive Role HU,NW
100,CB,Positiv Pstv Strong Virtue EVAL SklOth SklTOTPositiv Eval@ Quality IndAdjRitualAbs@ ABS Time@Strong Means EndsLwPositiv Pstv Strong Virtue EndsLwPositiv Pstv Submit Passive PerceivKnow EnlOth EnlTotPassive Virtue RcEnds RcTot,NW
101,CB,NatrProStrong Active Travel PowPt PowTot TranLwStrong Active Increas TimeSpcABS DIST Space TimeSpcQualityEcon@ ECON ComForm COM FormLw,NW
102,CB,ABS DIST Space TimeSpcOvrst Time@ TimeSpcAbs@ ABS Time@Positiv Strong Active IncreasPassive Arousal EMOTPositiv Feel Arousal Doctrin,NW
103,CB,PLACE Region ArenaLwArousal EndsLwStrong Active Complet IAV TrnGainNegativ Ngtv Strong Active NatrPro PowOth PowTotActive SpaceStrong ComForm EnlOth EnlTot FormLw,NW
104,CB,SpaceExprsv Role HU SklPt SklTOTNegativ Ngtv Vice EnlOth EnlTotStrong Active Complet IAV TrnGainPositiv Pstv Affil Active Virtue RcEthic RcTotFinish,NW
105,CB,Causal IfAcadem Doctrin EnlOth EnlTotComForm COM PowOth PowTot FormLwSpaceEcon@ ECON ComForm COM FormLw,NW
106,CB,Hostile Vice Legal RcEthic RcTotStrong Rel IAV TranLwNegativ Ngtv Hostile Strong Active Vice PowCon PowTotSpaceAbs@ ABS Time@,NW
107,CB,Positiv Pstv Virtue Abs@ ABS EndsLwStrong Quan DIMSubmit Passive Role HUNegativ Ngtv Hostile Strong Active SocRel DAV PowCon PowTotActive Travel IAV TranLwGoal Abs@ ABS EndsLw,NW
108,WR,QualityObject BldgPtPositiv Pstv Virtue Econ@ ECON WltOth WltTotOvrst Know SureLw,NW
109,WR,Positiv Pstv Virtue Polit@ POLIT Abs@ ABS RspOth RspTotPositiv Pstv Strong Active Virtue SklOth SklTOTNegativ Ngtv Role HUABS DIST Space TimeSpcTravel IAVNegativ Ngtv Hostile Weak Passive SocRel IfStrong Means EndsLw,NW
110,WR,Positiv Pstv Strong Active Exprsv Begin IAV EndsLwPositiv Pstv Virtue Abs@ ABS EndsLwPositiv Pstv Virtue EVALPositiv Strong Active IncreasPositiv Pstv Virtue Polit@ POLIT Abs@ ABS RspOth RspTotNatrProPositiv Pstv Strong Active Virtue SklOth SklTOTSpaceQuality,NW
111,WR,Econ@ ECON ComForm COM FormLwSpaceBodyPtVirtue Ovrst EVALPositiv Strong Virtue EVAL Abs@ ABS MeansLwNegativ Ngtv Weak Passive Fail IAV PowCon PowTot,NW
112,WR,Space TimeSpcVirtue Ovrst EVALNegativ Ngtv Weak Active Fail DAV,NW
113,WR,NatrProExprsv Role HU SklPt SklTOTPassive Goal EnlOth EnlTotPower ECON Polit@ POLIT COLL HU PowAuPt PowTotQualityStrong Power Econ@ Role HU WltPt WltTotStrong Active Complet IAV TrnGainPerceiv IAV EnlOth EnlTot,NW
114,WR,Positiv Pstv Affil Strong Active Role HUStrong Active Complet IAV TrnGainNegativ Ngtv NatrPro WlbPhys WlbTotPositiv Pstv Strong Active Exprsv Begin IAV EndsLwTime@ TimeSpc,NW
115,WR,Positiv Pstv Affil SocRel IAV AffGain AffTotStrong Quan DIMPositiv Nonadlt IndAdj,NW
116,WR,Positiv Nonadlt IndAdjActive Travel IAV TranLwEcon@ ECON COLL HU WltPt WltTotPositiv Pstv Strong Means WlbPhys WlbTot,NW
117,WR,Negativ Ngtv Weak Passive Vice EndsLwSolve IAVPositiv Nonadlt IndAdjNegativ Ngtv Hostile Power Passive Vice PowOth PowTotSpaceNegativ Ngtv Role HU,NW
118,WR,Strong Quan DIMStrong ComForm EnlOth EnlTot FormLwSpace,NW
119,QB,SpaceComForm DAV EnlGain EnlTotStrong Quan DIM,NW
120,QB,Positiv Pstv Strong Active Virtue TrnGainNegativ Weak Active Fail IAVQuality,NW
121,QB,Passive Goal EnlOth EnlTotPositiv Pstv Strong QualityStrong Solve IAVSpace TimeSpc,NW
122,QB,Positiv Pstv Strong Ovrst QuanPositiv Pstv Submit Passive PerceivPower Active TravelObject ToolPositiv Pstv Virtue EVAL WltOth WltTotNegativ Ngtv Passive Need EndsLw,NW
123,QB,Positiv Pstv Virtue EVAL SklOth SklTOTPositiv Active ComForm Solve IAVPositiv Pstv Strong Power Pleasur EMOT Ovrst WlbPsyc WlbTotObject Tool WlbPhys WlbTotSpace POS PowCoop PowTot,NW
124,QB,Strong Quan DIMPositiv Pstv Affil SocRel IAV AffGain AffTotStrong Active Fetch IAV TrnGainStrong Power Active Milit POLIT Role HU PowAuPt PowTotPositiv Pstv Virtue Ovrst Abs@ ABS EnlOth EnlTotSpaceNegativ Affil Power Active IAVStrong Active Exert Abs@ ABS TranLw,NW
125,QB,Negativ Ngtv Hostile Weak Passive SocRel PowCon PowTotPositiv Pstv Virtue SureLwBodyPt WlbPhys WlbTotObject ToolSpaceNegativ Ngtv Passive Need EndsLw,NW
126,QB,Negativ Ngtv Passive Need EndsLwPositiv Pstv Strong Active Virtue TrnGainObject ToolPositiv Active Travel IAVPositiv Pstv Active Work IAVStrong Active Begin IAV TranLwStrong ComForm EnlOth EnlTot FormLwSolve IAVPassive Arousal EMOTStrong Power Active Exert IAV PowOth PowTotStrong Power Active Exert IAV PowOth PowTotStrong ComForm EnlOth EnlTot FormLw,NW
127,QB,Solve IAVComForm IAV RspOth RspTotRitualEcon@ ECON Polit@ POLIT COLL HU,NW
128,QB,Undrst PersistActive Econ@ Role HU EnlPt EnlTotStrong Power Causal PowLoss PowTotActive TravelNegativ Ngtv Passive Need EndsLwSpace,NW
129,QB,Negativ Ngtv Passive Need EndsLwPositiv Pstv Strong Active Virtue TrnGainLegal Role HU SklPt SklTOTNegativ ComForm PerceivPositiv Role HU KnowLegal Role HU SklPt SklTOTPositiv Pstv Strong Virtue EVAL PosAffEcon@ ECON ComForm COM FormLw,NW
130,QB,Negativ Ngtv Hostile Power Passive Vice PowOth PowTotSubmit Passive Role HUStrong SpaceAffil ANIActive Travel TranLwRel IAV,NW
131,LB,Positiv Pstv Virtue Econ@ ECON WltOth WltTotActive SpaceAcadem Role HU EnlPt EnlTotSolve IAV EnlGain EnlTotQuan,NW
132,LB,Positiv Pstv Affil Active ComForm IAV TrnGainSpace TimeSpcMeans EndsLwNegativ Ngtv Hostile Active Virtue PowCon PowTotNatrProPower ECON Polit@ POLIT COLL HU PowAuPt PowTotStrong Active Fall IAVVirtue Ovrst EVAL,NW
133,LB,Power ComForm EnlGain EnlTotPositiv Strong Power Active SocRel IAV PowLoss PowTotKnow WlbPsyc WlbTotNegativ Ngtv Passive Solve IAV EnlLoss EnlTotNegativ Ngtv Strong Active NatrPro PowOth PowTot,NW
134,LB,Strong Power Active SocRel IAV,NW
135,LB,Negativ Ngtv Vice EnlOth EnlTotNegativ Weak Pain EMOT SocRel IPadjSpace,NW
136,LB,Weak Submit Passive Rel DAVPositiv Pstv Strong Virtue EVAL SklOth SklTOTWork IAVPositiv Affil Strong IndAdj,NW
137,LB,Ovrst Time@ TIME TimeSpcStrong ABS DIST SpaceNegativ Ngtv Weak Active Fail DAVEcon@ ECON ComForm COM FormLwPositiv Pstv Strong Virtue ExprsvStrong Power Active WorkEcon@ ECON ComForm COM FormLw,NW
138,LB,Negativ Ngtv Passive Need EndsLwPassive Virtue Ovrst SureLwPositiv Strong Virtue EVAL Abs@ ABS MeansLwPassive Goal EnlOth EnlTotNegativ Ngtv Weak Passive Vice EndsLwActive Academ Try IAV EnlEnds EnlTotKnow EnlGain EnlTot,NW
139,LB,Positiv Feel Arousal DoctrinStrong Quality,NW
140,LB,Strong Active Exert IAV TranLwHostile Role HU PowPt PowTotPositiv Eval@ Quality IndAdjHostile ComForm PowCon PowTot FormLw,NW
141,LB,SpaceNegativ Hostile Active Exert IAVNegativ Ngtv Passive Need EndsLwABS DIST Space TimeSpc,NW
142,LB,SpacePositiv Pstv Virtue EVAL,NW
143,OT,Strong BodyPt PowOth PowTotECON POLIT NameAcadem Role HU EnlPt EnlTotPositiv Nonadlt IndAdj,NW
144,OT,Positiv Pstv Strong Virtue Ovrst EVAL RspOth RspTotPositiv Pstv Strong Power Pleasur EMOT Ovrst WlbPsyc WlbTotComForm IAV PowEnds PowTot,NW
145,OT,Econ@ ECON Rel PowOth PowTotPositiv Pstv Virtue EVAL PosAffPositiv Pstv Active ComForm DAV EnlGain EnlTotStrong Work DAV PowOth PowTotStrong Quan DIMNegativ Ngtv Hostile POLIT Role HU PowCon PowTot,NW
146,OT,ABS DIST Space TimeSpcActive TravelPositiv Eval@ Quality IndAdj,NW
147,OT,NatrProActive Travel TranLwPassive Arousal EMOTQualityPositiv Pstv Passive VirtuePositiv Pstv Strong Active Virtue SklOth SklTOT,NW
148,OT,ABS DIST Space TimeSpcVirtue Ovrst EVALBodyPt WlbPhys WlbTot,NW
149,OT,Negativ Hostile Active Exert IAVNegativ Ngtv Role HUNegativ Weak Submit Vice DecreasQualityPositiv Econ@ Quan WltOth WltTotNegativ Hostile Active Exert IAV,NW
150,OT,Space TimeSpcStrong Stay IAVNegativ Ngtv Weak Active Fail DAVBodyPt,NW
151,OT,Positiv Pstv Affil Virtue PosAffStrong ECON CompletSpace TimeSpcHostile Strong Power Active Milit SocRel IAV PowCon PowTotStrong Ovrst Quan SureLw,NW
